Nitrogênio Foliar (g/kg),Fósforo(P) (mg/dm³),Potássio(K) (cmol c/dm³),Boro(B) (mg/dm³),Cálcio(Ca) (cmol c/dm³),Magnésio(Mg) (cmol c/dm³),Alumínio(Al) (cmol c/dm³),Sódio(Na) (cmol c/dm³),H+Al (cmol c/dm³),Zinco(Zn) (mg/dm³),Cobre(Cu) (mg/dm³),Manganês(Mn) (mg/dm³),"PRNT do calcário
",Classe
0.75,0.41,0.53,0.72,0.82,1.0,0.77,0.16,0.55,0.89,0.65,0.42,0.29,177
0.27,0.46,0.2,0.6,0.69,0.86,0.25,0.39,0.84,0.12,0.39,0.9,0.0,180
0.72,0.92,0.59,0.57,0.58,0.95,0.28,0.34,0.84,0.65,0.56,0.91,0.77,102
0.66,0.8,0.56,0.91,0.2,0.58,0.52,0.04,0.8,0.03,0.12,0.5,0.07,124
0.79,0.53,0.81,0.45,0.63,0.6,0.03,0.11,0.85,0.02,0.61,0.87,0.04,151
0.52,0.26,0.84,0.58,0.39,0.43,0.02,0.43,0.46,0.69,0.45,0.32,0.95,80
0.01,0.71,0.99,0.22,0.82,0.33,0.03,0.47,0.24,0.71,0.27,0.03,0.52,93
0.97,0.51,0.14,0.45,0.11,0.98,0.19,0.08,0.28,0.03,0.78,0.4,0.78,68
0.66,0.44,0.17,0.66,0.1,0.21,0.71,0.7,0.17,0.63,0.54,0.24,0.25,143
0.74,0.46,0.75,0.15,0.61,0.41,0.81,0.12,0.57,0.62,0.26,0.55,0.24,149
0.09,0.45,0.77,0.75,0.76,0.5,0.56,0.84,0.38,0.07,0.43,0.68,0.21,86
0.78,0.7,0.14,0.14,0.62,0.03,0.91,0.7,0.69,0.71,0.14,0.09,0.95,156
0.52,0.2,0.02,0.18,0.89,0.14,0.16,0.4,0.55,0.13,0.07,0.53,0.61,62
0.12,0.56,0.07,0.62,0.92,0.84,0.03,0.23,0.5,0.21,0.54,0.97,0.65,77
0.04,0.92,0.63,0.8,0.26,0.11,0.67,0.92,0.2,0.18,0.78,0.39,0.97,141
0.59,0.54,0.75,0.56,0.74,0.78,0.25,0.76,0.88,0.98,0.12,0.34,0.64,185
0.29,0.73,0.39,0.38,0.69,0.28,0.87,0.93,0.84,0.52,0.16,0.01,0.06,85
1.0,0.27,0.73,0.14,0.89,0.87,0.77,0.74,0.06,0.26,0.04,0.6,0.84,81
0.92,0.94,0.7,0.91,0.03,0.64,0.38,0.43,0.89,0.98,0.2,0.1,0.04,185
0.75,0.58,0.72,0.8,0.77,0.86,0.86,0.39,0.34,0.4,0.26,0.25,0.2,111
0.1,0.38,0.74,0.78,0.74,0.0,0.89,0.8,0.11,0.34,0.32,0.16,0.94,156
0.09,0.04,0.76,0.78,0.78,0.32,0.26,0.5,0.14,0.14,0.06,0.86,0.21,61
0.85,0.18,0.51,0.69,0.19,0.96,0.44,0.51,0.35,0.44,0.84,0.76,0.97,54
0.38,0.97,0.12,0.3,0.48,0.79,0.26,0.35,0.77,0.05,0.36,0.65,0.71,118
0.96,0.39,0.81,0.28,0.96,0.43,0.55,0.33,0.58,0.83,0.0,0.69,0.06,149
0.52,0.82,0.15,0.01,0.69,0.53,0.63,0.89,0.29,0.06,0.73,0.18,0.18,100
0.4,0.33,0.93,0.5,0.78,0.35,0.72,0.1,0.84,0.85,0.41,0.98,0.89,10
0.54,0.93,0.98,0.93,0.49,0.99,0.42,0.04,0.61,0.07,0.79,0.55,0.84,14
0.85,0.57,0.1,0.17,0.47,0.15,0.65,0.34,0.76,0.72,0.25,0.68,0.83,31
0.25,0.43,0.82,0.4,0.53,0.03,0.37,0.09,0.3,0.26,0.43,0.47,0.04,168
0.19,0.23,0.77,0.1,0.45,0.58,0.63,0.63,0.56,0.04,0.93,0.41,0.77,153
0.63,0.86,0.54,0.56,0.57,0.62,0.7,0.18,0.08,0.31,0.94,0.87,0.56,41
0.86,0.08,0.35,0.18,0.05,0.65,0.87,0.31,0.36,0.26,0.08,0.19,0.6,96
0.61,0.22,0.4,0.53,0.97,0.7,0.67,0.79,0.31,0.87,0.86,0.29,0.05,158
0.94,0.92,0.11,0.04,0.48,0.31,0.23,0.39,0.82,0.56,0.75,0.33,0.88,116
0.61,0.23,0.17,0.89,0.51,0.9,0.74,0.35,1.0,0.73,0.29,0.08,0.77,50
0.82,0.59,0.43,0.73,0.57,0.9,0.07,0.04,0.86,0.92,0.42,0.18,0.17,192
0.62,0.94,0.01,0.24,0.72,0.45,0.29,0.47,0.53,0.79,0.11,0.94,0.03,134
0.72,0.91,0.43,0.65,0.77,0.87,0.19,0.04,0.48,0.5,0.27,0.37,0.95,184
0.05,0.11,0.72,0.77,0.08,0.01,0.48,0.79,0.73,0.28,0.01,0.47,0.98,59
0.86,0.75,0.24,0.16,0.51,0.41,0.23,0.79,0.17,0.02,0.77,0.98,0.34,101
0.3,0.03,0.9,0.22,0.24,0.93,0.03,0.09,0.52,0.59,0.56,0.49,0.35,65
0.42,0.28,0.65,0.04,0.54,0.68,1.0,0.75,0.91,0.38,0.34,0.64,0.17,146
0.94,0.33,0.07,0.0,0.1,0.68,0.39,0.92,0.67,0.18,0.56,0.29,0.28,130
0.59,0.44,0.26,0.71,0.13,0.05,0.43,0.87,0.99,0.89,0.8,0.8,0.8,18
0.21,0.54,0.04,0.81,0.02,0.35,0.56,0.25,0.47,0.95,0.82,0.94,0.83,52
0.71,0.61,0.66,0.73,0.65,0.18,0.46,0.45,0.58,0.62,0.23,0.75,0.92,10
0.75,0.31,0.13,0.74,0.34,0.89,0.84,0.82,0.17,0.64,0.17,0.14,0.17,158
0.59,0.49,0.86,0.92,0.22,0.46,0.51,0.53,0.42,0.07,0.87,0.04,0.92,56
0.23,0.5,0.28,0.06,0.99,0.74,0.75,0.17,0.65,0.73,0.3,0.34,0.84,7
0.59,0.78,0.18,0.24,0.39,0.8,0.07,0.08,0.55,0.02,0.43,0.53,0.51,68
0.96,0.49,0.39,0.81,0.83,0.33,0.26,0.49,0.4,0.15,0.78,0.76,0.89,89
0.97,0.15,0.4,0.88,0.56,0.33,0.03,0.86,1.0,0.66,0.63,0.21,0.53,30
0.95,0.61,0.73,0.82,0.02,0.03,0.35,0.1,0.39,0.68,0.93,0.86,0.34,128
0.33,0.7,0.14,0.61,0.31,0.6,0.42,0.29,0.49,0.54,0.82,0.53,0.6,190
0.94,0.27,0.89,0.66,0.08,0.97,0.71,0.13,0.84,0.31,0.07,0.61,0.37,110
0.89,0.02,0.99,0.21,0.86,0.83,0.47,0.96,0.92,0.43,0.08,0.68,0.13,81
0.65,0.68,0.11,0.58,0.51,0.14,0.07,0.08,0.38,0.8,0.62,0.08,0.58,70
0.59,0.75,0.86,0.11,0.57,0.07,0.47,0.68,0.83,0.37,0.94,0.38,0.34,71
0.72,0.88,0.02,0.83,0.55,0.14,0.77,0.99,1.0,0.0,0.33,0.53,0.91,169
0.99,0.58,0.07,0.97,0.85,0.68,0.35,0.42,0.72,0.72,0.29,0.2,0.55,193
0.72,0.2,0.28,0.29,0.77,0.97,0.36,0.87,0.59,0.7,0.93,0.43,0.72,3
0.62,0.91,0.97,0.13,0.7,0.16,0.22,0.18,0.13,0.04,0.85,0.8,0.39,92
0.79,0.97,0.27,0.03,0.48,0.45,0.13,0.22,0.55,0.14,0.65,0.36,0.29,69
0.91,0.87,0.41,0.12,0.59,0.69,0.97,0.83,0.75,0.35,0.16,0.05,0.18,171
0.46,0.43,0.23,0.2,0.52,0.31,0.43,0.6,0.1,0.58,0.51,0.21,0.87,170
0.13,0.09,0.75,0.44,0.47,0.76,0.84,0.08,0.07,0.85,0.15,0.91,0.58,38
0.7,0.79,0.06,0.62,0.31,0.81,0.23,0.3,0.13,0.85,0.89,0.11,0.67,190
0.69,0.93,0.75,0.91,0.27,0.78,0.3,0.09,0.26,0.26,0.43,0.19,0.14,97
0.38,0.09,0.11,0.22,0.39,0.36,0.1,0.29,0.99,0.56,0.39,0.4,0.6,49
0.18,0.63,0.38,0.34,0.51,0.78,0.72,0.43,0.39,0.72,0.58,0.75,0.59,38
0.53,0.92,0.9,0.12,0.05,0.55,0.11,0.89,1.0,0.43,0.15,0.37,0.42,72
0.89,0.55,0.07,0.95,0.06,0.84,0.16,0.49,0.54,0.28,0.82,0.27,0.64,129
0.72,0.93,0.71,0.31,0.06,0.47,0.16,0.89,0.6,0.9,0.07,0.23,0.74,58
0.17,0.95,0.79,0.75,0.56,0.61,0.45,0.25,0.21,0.52,0.26,0.46,0.07,106
0.42,0.44,0.21,0.24,0.14,0.61,0.2,0.16,0.0,1.0,0.95,0.55,0.86,53
0.26,0.41,0.74,0.17,0.3,0.15,0.84,0.35,0.88,0.74,0.02,0.7,0.75,10
0.07,0.11,0.0,0.57,0.07,0.56,0.1,0.65,0.01,0.05,0.61,0.69,0.75,75
0.19,0.53,0.22,0.01,0.3,0.69,0.59,0.66,0.17,0.67,0.0,0.58,0.29,187
0.03,0.78,0.39,0.57,0.27,0.72,0.32,0.31,0.14,0.65,0.58,0.92,0.84,52
0.95,0.79,0.8,0.79,0.22,0.75,0.98,0.29,0.67,0.02,0.75,0.82,0.81,14
0.68,0.9,0.2,0.79,0.92,0.81,0.58,0.19,0.52,0.74,0.29,0.08,0.04,192
0.81,0.5,0.57,0.46,0.43,0.21,0.21,0.32,0.51,0.32,0.39,0.78,0.34,122
0.37,0.64,0.41,0.17,0.1,0.18,0.61,0.51,0.48,0.14,0.96,0.35,0.12,113
0.92,0.53,0.48,0.45,0.7,0.64,0.76,0.0,0.37,0.78,0.16,0.74,0.95,25
0.46,0.45,0.85,0.95,0.45,0.64,0.59,0.31,0.93,0.94,0.02,0.04,0.41,8
0.75,0.11,0.24,0.44,0.33,0.27,0.82,0.99,0.16,0.75,0.32,0.22,0.63,157
0.03,0.51,0.66,0.57,0.74,0.22,0.93,0.55,0.52,0.83,0.11,0.21,0.65,8
0.77,0.08,0.01,0.47,0.65,0.03,0.03,0.48,0.06,0.69,0.03,0.25,0.23,16
0.3,0.14,0.98,0.24,0.28,0.85,0.6,0.48,0.13,0.74,0.2,0.68,0.51,38
0.8,0.03,0.11,0.98,0.92,0.49,0.04,0.1,0.79,0.04,0.96,0.39,0.82,84
0.46,0.78,0.21,0.59,0.55,0.14,0.35,0.81,0.58,0.14,0.12,0.83,0.76,89
0.22,0.85,0.19,0.67,0.55,0.14,0.27,0.43,0.51,0.99,0.71,0.45,0.7,155
0.56,0.25,0.64,0.76,0.52,0.34,0.27,0.06,0.25,0.96,0.82,0.05,0.09,98
0.94,0.57,0.16,0.53,0.55,0.16,0.82,0.94,0.98,0.61,0.46,0.38,0.84,31
0.36,0.83,0.09,0.66,0.53,0.01,0.57,0.89,0.82,0.56,0.63,0.27,0.99,155
0.77,0.42,0.02,0.63,0.37,0.14,0.92,0.98,0.59,0.58,0.21,0.79,0.61,2
0.18,0.92,0.71,0.01,0.21,0.73,0.76,0.43,0.39,0.71,0.57,0.75,0.77,132
0.26,0.43,0.16,0.77,0.87,0.71,0.54,0.62,0.59,0.81,0.15,0.08,0.2,172
0.12,0.29,0.33,0.4,0.86,0.95,0.75,0.5,0.69,0.71,0.85,0.89,0.59,4
0.7,0.25,0.38,0.78,0.75,0.69,0.62,0.76,0.84,0.68,0.45,0.7,0.18,19
0.92,0.91,0.37,0.54,0.34,0.93,0.06,0.29,0.13,0.54,0.48,0.64,0.87,54
0.55,0.85,0.3,0.41,0.68,0.7,0.08,0.54,0.65,0.19,0.73,0.92,0.76,102
0.74,0.7,0.14,0.2,0.63,0.56,0.74,0.59,0.08,0.73,0.07,0.22,0.46,171
0.03,0.17,0.26,0.47,0.9,0.11,0.92,0.42,0.91,0.77,0.76,0.46,0.17,6
0.69,0.09,0.23,0.67,0.14,0.59,0.73,0.56,0.36,0.26,0.82,0.86,0.87,2
0.98,0.08,0.64,0.7,0.53,0.47,0.92,0.08,0.83,0.08,0.13,0.37,0.25,110
0.15,0.68,0.89,0.08,0.47,0.08,0.55,0.68,0.0,0.41,0.96,0.83,0.93,154
0.43,0.55,0.84,0.37,0.44,0.84,0.75,0.03,0.87,0.52,0.87,0.26,0.89,36
0.66,0.62,0.2,0.67,0.44,0.34,0.54,0.07,0.06,0.87,0.83,0.27,0.09,190
0.38,0.88,0.02,0.69,0.55,0.46,0.59,0.13,0.47,0.38,0.98,0.14,0.9,56
0.0,0.06,0.9,0.66,0.74,0.79,1.0,0.71,0.56,0.79,0.29,0.16,0.46,7
0.85,0.35,0.49,0.54,0.54,0.12,0.65,0.96,0.1,0.84,0.41,0.5,0.36,15
0.36,0.58,0.81,0.02,0.87,0.93,0.61,0.59,0.21,0.66,0.66,0.51,0.72,177
0.22,0.98,0.49,0.18,0.39,0.58,0.35,0.21,0.39,0.41,0.19,0.19,0.25,187
0.45,0.62,0.02,0.26,0.25,0.86,0.53,0.26,0.6,0.63,0.19,0.19,0.03,187
0.29,0.58,0.92,0.16,0.67,0.79,0.59,0.35,0.97,0.77,0.44,0.74,0.45,164
0.44,0.42,0.89,0.6,0.3,0.45,0.58,0.36,0.23,0.73,0.77,0.64,0.06,112
0.0,0.25,0.58,0.14,0.68,0.15,0.26,0.26,0.28,0.18,0.19,0.44,0.22,168
0.91,0.3,0.81,0.29,0.53,0.91,1.0,0.86,0.86,0.67,0.86,0.25,0.21,20
0.96,0.99,0.97,0.8,0.5,0.44,0.19,0.03,0.26,0.24,0.76,0.83,0.08,151
0.55,0.81,0.64,0.02,0.02,0.51,0.9,0.92,0.5,0.65,0.51,0.18,0.01,160
0.78,0.33,0.11,0.52,0.02,0.97,0.38,0.04,0.97,0.18,0.48,0.55,0.23,129
0.07,0.3,0.44,0.36,0.94,0.36,0.77,0.66,0.49,0.5,0.36,0.66,0.28,6
0.42,0.67,0.45,0.45,0.42,0.17,0.51,0.7,0.99,0.24,0.27,0.37,0.58,71
0.39,0.8,0.87,0.51,0.28,0.95,0.81,0.51,0.99,0.09,0.95,0.82,0.89,14
0.18,0.64,0.88,0.69,0.77,0.49,0.72,0.19,0.59,0.03,0.51,0.23,0.33,106
0.41,0.54,0.3,0.08,0.23,0.49,0.46,0.96,0.62,0.05,0.32,0.47,0.76,131
0.52,0.4,0.09,0.58,0.82,0.99,0.14,0.33,0.48,0.17,0.05,0.05,0.24,186
0.62,0.77,0.31,0.27,0.57,0.32,0.12,0.42,0.61,0.12,0.61,0.32,0.57,69
0.67,0.29,0.65,0.59,0.68,0.04,0.88,0.56,0.35,0.59,0.68,0.8,0.52,1
0.16,0.09,0.04,0.62,0.87,0.71,0.99,0.61,0.64,0.02,0.77,0.29,0.42,47
0.38,0.21,0.09,0.76,0.69,0.65,0.14,0.75,0.68,1.0,0.08,0.62,0.93,32
0.54,0.06,0.68,0.22,0.59,0.79,0.33,0.15,0.35,0.12,0.13,0.2,0.09,96
0.55,0.0,0.6,0.8,0.58,0.73,0.09,0.17,0.29,0.76,0.9,0.84,0.66,53
0.5,0.11,0.15,0.13,0.02,0.73,0.11,0.83,0.07,0.16,0.28,0.54,0.62,130
0.93,0.56,0.06,0.88,0.37,0.84,0.0,0.4,0.47,0.32,0.24,0.53,0.61,103
0.5,0.79,0.22,0.94,0.68,0.39,0.4,0.37,0.04,0.63,0.12,0.97,0.62,90
0.02,0.75,0.17,0.22,0.47,0.17,0.41,0.35,0.32,0.71,0.35,0.31,0.44,188
0.97,0.4,0.41,0.91,0.92,0.04,0.05,0.93,0.22,0.9,0.8,0.05,0.95,43
0.11,0.51,0.51,0.99,0.13,0.29,0.79,0.78,0.78,0.3,0.3,0.78,0.53,86
0.63,0.17,0.06,0.29,0.32,0.29,0.28,0.96,0.76,0.18,0.74,0.72,0.68,130
0.45,0.41,0.34,0.48,0.53,0.17,0.37,0.88,0.4,0.83,0.46,0.86,0.96,18
0.56,0.84,0.35,0.04,0.39,0.38,0.82,0.36,0.65,0.19,0.47,0.61,0.36,162
0.96,0.73,0.19,0.82,0.35,0.32,0.81,0.8,0.36,0.17,0.95,0.68,0.6,114
0.85,0.09,0.78,0.14,0.08,0.34,0.63,0.37,0.98,0.22,0.02,0.76,0.99,109
0.1,0.0,0.7,0.59,0.75,0.92,0.84,0.78,0.4,0.66,0.89,0.64,0.23,20
0.17,0.76,0.38,0.18,0.26,0.81,0.06,0.86,0.75,0.13,0.83,0.75,0.09,180
0.41,0.83,0.92,1.0,0.77,0.6,0.98,0.84,0.45,0.03,0.56,0.99,0.24,13
0.63,0.99,0.38,0.02,0.59,0.76,0.58,0.66,0.33,0.41,0.58,0.53,0.92,117
0.04,0.8,0.67,0.66,0.65,0.11,0.35,0.14,0.95,0.68,0.03,0.78,0.23,121
0.36,0.68,0.0,0.96,0.5,0.79,0.75,0.29,0.63,0.97,0.93,0.18,0.07,191
0.45,0.54,0.59,0.72,0.6,0.07,0.72,0.26,0.01,0.68,0.27,0.72,0.61,90
0.69,0.06,0.64,0.27,0.59,0.64,0.21,0.77,0.8,0.51,0.51,0.64,0.17,33
0.94,0.63,0.25,0.76,0.32,0.59,0.66,0.2,0.5,0.75,0.76,0.94,0.74,103
0.62,0.84,0.63,0.13,0.29,0.85,0.82,0.7,0.27,0.88,0.82,0.08,0.56,190
0.49,0.92,0.79,0.01,0.59,0.17,0.75,0.74,0.03,0.14,0.02,0.97,0.09,148
0.24,0.76,0.59,0.2,0.52,0.26,0.86,0.13,0.3,0.33,0.35,0.98,0.28,148
0.28,0.8,0.67,0.42,0.83,0.67,0.83,0.33,0.32,0.93,0.11,0.9,0.22,163
0.89,0.7,0.94,0.36,0.48,0.1,0.11,0.19,0.15,0.65,0.13,0.92,0.75,136
0.76,0.47,0.73,0.98,0.75,0.9,0.1,0.37,0.17,0.95,0.86,0.85,0.42,53
0.34,0.0,0.85,0.09,0.86,0.59,0.83,0.06,0.2,0.08,0.03,0.42,0.63,96
0.8,0.15,0.07,0.57,0.29,0.93,0.64,0.76,0.1,0.32,0.98,0.91,0.69,2
0.61,0.15,0.92,0.34,0.58,0.13,0.58,0.2,0.79,0.62,0.18,0.38,0.0,123
0.92,0.18,0.76,0.24,0.27,0.12,0.36,0.15,0.08,0.02,0.34,0.15,0.61,96
0.67,0.46,0.28,0.62,0.8,0.69,0.23,0.11,0.99,0.69,0.04,0.65,0.69,63
0.18,0.54,0.38,0.38,0.7,0.08,0.44,0.65,0.38,0.99,0.24,0.8,0.98,170
0.31,0.28,0.76,0.24,0.01,0.82,0.4,0.54,0.39,0.73,0.56,0.31,0.62,65
0.75,0.21,0.95,0.43,0.58,0.84,0.41,0.17,0.79,0.19,0.84,0.53,0.3,152
0.74,0.22,0.67,0.83,0.0,0.31,0.66,0.65,0.05,0.18,0.43,0.55,0.64,15
0.57,0.17,0.02,0.63,0.2,0.33,0.53,0.97,0.74,0.64,0.99,0.95,0.68,18
0.63,0.91,0.8,0.5,0.13,0.12,0.42,0.84,0.89,1.0,0.47,0.91,0.88,58
0.34,0.87,0.8,0.97,0.33,0.18,0.96,0.49,0.05,0.17,0.43,0.08,0.49,127
0.41,0.76,0.63,0.87,0.55,0.77,0.46,0.66,0.11,0.1,0.01,0.16,0.24,172
0.3,0.83,0.2,0.11,0.41,0.78,0.0,0.41,0.4,0.68,0.33,0.42,0.04,187
0.62,0.2,0.29,0.05,0.6,0.87,0.75,0.88,0.97,0.36,0.57,0.35,0.76,131
0.88,0.93,0.93,0.29,0.94,0.66,0.1,0.36,0.81,0.03,0.16,0.9,0.84,12
0.32,0.3,0.36,0.53,0.4,0.92,0.46,0.63,0.97,0.8,0.94,0.11,0.49,21
0.55,0.43,0.52,0.66,0.63,0.23,0.99,0.2,0.94,0.35,0.29,0.5,0.17,124
0.96,0.01,0.18,0.68,0.03,0.55,0.09,0.16,0.76,0.34,0.93,0.85,0.72,129
0.27,0.98,0.72,0.74,0.49,0.7,0.93,0.08,0.82,0.75,0.86,0.88,0.98,28
0.82,0.47,0.27,0.1,0.46,0.62,0.68,0.33,0.31,0.24,0.53,0.83,0.03,161
0.57,0.35,0.01,0.17,0.92,0.5,0.21,0.73,0.28,0.64,0.65,0.75,0.42,3
0.7,0.82,0.89,0.7,0.09,0.41,0.94,0.95,0.64,0.9,0.52,0.99,0.21,71
0.75,0.09,0.47,0.21,0.08,0.89,0.21,0.43,0.79,0.6,0.45,0.29,0.36,80
0.44,0.54,0.38,0.45,0.34,0.01,0.91,0.45,0.21,0.12,0.58,0.82,0.31,100
0.97,0.71,0.34,0.57,0.48,0.44,0.78,0.94,0.39,0.51,0.68,0.6,0.8,2
0.21,0.27,0.31,0.47,0.97,0.73,0.29,0.3,0.69,0.18,0.58,0.65,0.55,62
0.99,0.36,0.71,0.34,0.51,0.13,0.97,0.93,0.33,0.63,0.98,0.91,0.02,1
0.55,0.77,0.5,0.52,0.31,0.21,0.5,0.81,0.12,0.28,1.0,0.03,0.54,113
0.94,0.2,0.91,0.74,0.07,0.94,0.67,0.45,0.77,0.5,0.79,0.54,0.98,14
0.88,0.7,0.25,0.29,0.51,0.17,0.35,0.02,0.48,0.23,0.63,0.73,0.84,55
0.57,0.29,0.55,0.48,0.8,0.38,0.3,0.28,0.39,0.37,0.06,0.33,0.47,95
0.04,0.88,0.84,0.21,0.77,0.25,0.45,0.77,0.86,0.29,0.1,0.94,0.08,134
0.71,0.88,0.47,0.75,0.39,0.96,0.79,0.67,0.6,0.63,0.91,0.96,0.12,177
0.43,0.95,0.64,0.55,0.12,0.65,0.44,0.84,0.3,0.46,0.8,0.71,0.62,87
0.8,0.29,0.75,0.95,0.59,0.71,0.52,0.68,0.37,0.31,0.36,0.29,0.18,81
0.31,0.69,0.81,0.16,0.5,0.26,0.8,0.69,0.28,0.79,0.92,0.09,0.66,156
0.92,0.58,0.79,0.38,0.43,0.2,0.5,0.95,0.97,0.25,0.23,0.94,0.2,71
0.66,0.99,0.11,0.94,0.06,0.61,0.46,0.9,0.37,0.17,0.36,0.87,0.88,89
0.54,0.09,0.31,0.57,0.86,0.22,0.22,0.06,0.83,0.01,0.41,0.97,0.87,62
0.78,0.96,0.91,0.32,0.83,0.27,0.37,0.32,0.33,0.32,0.41,0.09,0.63,107
0.72,0.64,0.79,0.09,0.73,0.0,0.46,0.29,0.27,0.82,0.54,0.68,0.59,162
0.38,0.91,0.63,0.29,0.65,0.66,0.99,0.15,0.95,0.03,0.24,0.7,0.77,119
0.08,0.42,0.33,0.53,0.96,0.44,0.36,0.48,1.0,0.78,0.67,0.96,0.4,5
0.52,0.81,0.79,0.74,0.01,0.59,1.0,0.18,0.51,0.38,0.94,0.69,0.64,28
0.4,0.51,0.35,0.06,0.77,0.04,0.81,1.0,0.04,0.27,0.43,0.81,0.14,148
0.18,0.56,0.16,0.75,0.52,0.12,0.55,0.06,0.44,0.39,0.33,0.96,0.11,76
0.07,0.74,0.16,0.98,0.17,0.68,0.4,0.25,0.24,0.74,0.95,0.24,0.57,52
0.74,0.61,0.62,0.51,0.55,0.1,0.92,0.33,0.41,0.49,0.56,0.04,0.85,141
0.04,0.83,0.47,0.71,0.48,0.44,0.42,0.17,0.83,0.17,0.41,0.82,0.79,105
0.69,0.59,0.03,0.09,0.54,0.34,0.75,0.27,0.1,0.43,0.91,0.7,0.78,175
0.76,0.64,0.46,0.48,0.15,0.69,0.11,0.51,0.31,0.91,0.48,0.25,0.82,66
0.22,0.75,0.02,0.61,0.95,0.09,0.36,0.59,0.28,0.5,0.45,0.08,0.85,155
0.64,0.58,0.75,0.61,0.25,0.7,0.85,0.32,0.6,0.52,0.77,0.52,0.75,28
0.14,0.83,0.21,0.46,0.65,0.95,0.05,0.71,0.44,0.92,0.05,0.04,0.08,172
0.97,0.35,0.07,0.49,0.34,0.33,0.92,0.67,0.11,0.6,0.49,0.1,0.3,143
0.77,0.3,0.89,0.89,0.47,0.28,0.25,0.35,0.57,0.11,0.55,0.93,0.2,138
0.02,0.7,0.02,0.52,0.02,0.84,0.58,0.51,0.01,0.63,0.49,0.27,0.33,188
0.61,0.66,0.19,0.08,0.1,0.12,0.55,0.28,0.12,0.53,0.77,0.01,0.08,189
0.5,0.11,0.59,0.17,0.08,0.29,0.92,0.95,0.49,0.39,0.76,0.91,0.56,1
0.39,0.57,0.99,0.84,0.14,0.6,0.19,0.58,0.34,0.25,0.14,0.37,0.53,78
1.0,0.58,0.35,0.67,0.44,0.06,0.7,0.81,0.15,0.04,0.4,0.61,0.1,1
0.01,0.76,0.8,0.1,0.86,0.98,0.95,0.28,0.17,0.2,0.78,0.35,0.25,106
0.62,0.07,0.56,0.79,0.18,0.46,0.94,0.18,0.09,0.74,0.16,0.35,0.94,24
0.04,0.91,0.59,0.69,0.68,0.88,0.68,0.87,0.97,0.15,0.9,0.12,0.33,20
0.26,0.77,0.6,0.86,0.72,0.66,0.64,0.15,0.31,0.75,0.27,0.06,0.94,37
0.25,0.49,0.69,0.67,0.13,0.17,0.87,0.64,0.89,0.39,0.28,0.39,0.42,85
0.11,0.73,0.53,0.11,0.51,0.31,0.08,0.56,0.36,0.3,0.58,0.33,0.87,93
0.33,0.63,0.56,0.44,0.57,0.08,0.82,0.66,0.62,0.83,0.88,0.18,0.51,141
0.16,0.49,0.49,0.43,0.39,0.07,0.61,0.1,1.0,0.66,0.47,0.16,0.47,35
0.92,0.09,0.25,0.68,0.4,0.62,0.42,0.78,0.17,0.98,0.6,0.48,0.14,16
0.51,0.08,0.66,0.74,0.3,0.6,0.96,0.96,0.16,0.36,0.02,0.06,0.8,157
0.99,0.2,0.58,0.65,0.99,0.01,0.9,0.78,0.56,0.82,0.08,0.78,0.6,31
0.08,0.76,0.44,0.16,0.57,0.2,0.97,0.8,0.28,0.77,0.39,0.48,0.61,156
0.05,0.99,0.01,0.83,0.96,0.98,0.71,0.05,0.8,0.48,0.94,0.16,0.32,192
0.05,0.69,0.84,0.64,0.63,0.36,0.28,0.98,0.07,0.66,0.59,0.09,0.84,170
0.31,0.39,0.49,0.29,0.95,0.37,0.66,0.06,0.03,0.25,0.87,0.98,0.59,41
0.6,0.15,0.03,0.44,0.08,0.44,0.47,0.7,0.35,0.17,0.46,0.78,0.89,130
0.66,0.3,0.24,0.85,0.8,0.15,0.24,0.06,0.48,0.1,0.49,0.81,0.84,76
0.32,0.2,0.03,0.84,0.19,0.94,0.47,0.1,0.0,0.48,0.9,0.44,0.29,53
0.7,0.93,0.34,0.13,0.48,0.63,0.14,0.88,0.93,0.49,0.68,0.56,0.94,116
0.7,0.71,0.94,0.71,0.46,0.79,0.78,0.6,0.44,0.24,0.31,0.86,0.62,13
0.14,0.59,0.77,0.21,0.1,0.13,0.47,0.65,0.86,0.89,0.65,0.14,0.96,58
0.64,0.19,0.27,0.45,0.68,0.12,0.5,0.59,0.81,0.74,0.23,0.29,0.01,33
0.24,0.7,0.27,0.97,0.46,0.04,0.79,0.72,0.03,0.98,0.32,0.51,0.26,157
0.56,0.67,0.33,0.87,0.87,0.23,0.11,0.19,0.94,0.17,0.04,0.56,0.53,77
0.33,0.39,0.79,0.74,0.42,0.03,0.89,0.15,0.41,0.39,0.13,0.95,0.47,10
0.0,0.09,0.09,0.15,0.74,0.38,0.13,0.55,0.93,0.1,0.67,0.78,0.66,48
0.24,0.23,0.33,0.87,0.6,0.96,0.94,0.87,0.28,0.84,0.6,0.32,0.65,158
0.33,0.01,0.28,0.71,0.54,0.43,0.88,0.24,0.4,0.2,0.72,0.2,0.62,112
0.25,0.57,0.64,0.45,0.23,0.27,0.43,0.12,0.51,0.93,0.1,0.95,0.48,24
0.41,0.62,0.83,0.89,0.05,0.73,0.41,0.71,0.09,0.73,0.75,0.34,0.97,52
0.54,0.45,0.71,0.75,0.63,0.08,0.34,0.62,0.35,0.09,0.18,0.02,0.64,94
0.39,0.3,0.42,0.53,0.22,0.56,0.3,0.42,0.99,0.15,0.02,0.99,0.09,138
